学号,性别,所属学院,高等数学,大学英语,Python程序设计,体育测试
STU20241439,男,理学院,71.9,82.3,77.3,74.9
STU20241440,女,理学院,83.9,92.9,89.7,66.8
STU20241441,男,计算机学院,47.0,83.5,63.3,75.1
STU20241442,女,商学院,77.8,68.7,78.7,76.1
STU20241443,女,机电学院,79.3,68.8,84.8,66.9
STU20241444,女,机电学院,80.9,78.0,84.7,85.3
STU20241445,女,计算机学院,88.4,67.0,93.3,64.6
STU20241446,男,理学院,47.9,75.1,63.3,81.5
STU20241447,女,计算机学院,65.0,64.9,76.2,64.1
STU20241448,男,商学院,76.1,75.8,83.5,75.2
STU20241449,女,文法学院,61.3,65.2,77.7,78.4
STU20241450,男,计算机学院,66.8,68.3,75.3,74.5
STU20241451,男,文法学院,69.7,67.6,72.2,70.3
STU20241452,女,机电学院,69.9,79.7,69.2,84.4
STU20241453,女,理学院,51.6,100.0,64.5,59.7
STU20241454,男,计算机学院,65.9,71.1,73.1,80.0
STU20241455,女,机电学院,75.2,68.3,88.4,74.5
STU20241456,男,机电学院,85.8,71.6,88.2,82.7
STU20241457,男,理学院,62.8,63.7,63.1,66.4
STU20241458,女,理学院,84.7,52.2,90.3,80.5
STU20241459,男,理学院,52.0,78.0,67.1,79.1
STU20241460,男,文法学院,79.1,86.3,89.0,80.5
STU20241461,男,理学院,68.3,69.8,63.3,88.4
STU20241462,女,商学院,74.2,75.9,87.0,68.5
STU20241463,女,计算机学院,88.3,79.0,100.0,80.1
STU20241464,男,计算机学院,45.7,87.4,63.9,93.7
STU20241465,男,计算机学院,85.9,79.6,81.0,68.1
STU20241466,男,理学院,82.7,89.9,82.8,78.5
STU20241467,男,理学院,85.3,54.0,88.7,85.5
STU20241468,男,计算机学院,49.0,59.4,56.4,89.7
STU20241469,男,文法学院,51.5,76.4,59.7,73.0
STU20241470,男,计算机学院,81.0,70.8,79.2,80.8
STU20241471,女,机电学院,81.7,68.2,86.8,80.3
STU20241472,男,理学院,74.7,80.1,75.8,86.8
STU20241473,女,机电学院,70.8,55.7,71.4,78.0
STU20241474,女,文法学院,56.2,92.7,72.2,67.2
STU20241475,男,商学院,81.3,78.7,83.2,76.3
STU20241476,女,文法学院,48.4,76.7,60.2,89.6
STU20241477,男,文法学院,88.1,82.0,93.3,83.5
STU20241478,女,商学院,52.9,80.7,53.8,69.2
STU20241479,女,文法学院,28.4,73.4,33.8,70.5
STU20241480,男,机电学院,67.8,73.6,76.6,85.7
STU20241481,男,文法学院,96.9,82.5,87.3,89.9
STU20241482,男,机电学院,52.4,78.3,58.7,71.3
STU20241483,女,计算机学院,87.3,93.6,88.1,69.2
STU20241484,女,理学院,57.4,77.7,67.2,80.9
STU20241485,女,商学院,65.9,57.6,73.2,75.6
STU20241486,女,计算机学院,46.5,53.7,54.4,69.5
STU20241487,男,商学院,76.8,76.7,82.4,93.8
STU20241488,男,计算机学院,59.2,85.6,69.5,82.1
STU20241489,男,文法学院,58.2,75.6,69.2,78.5
STU20241490,女,机电学院,67.3,64.9,82.6,70.0
STU20241491,男,文法学院,82.4,69.6,85.2,71.3
STU20241492,女,商学院,90.1,100.0,87.9,68.9
STU20241493,男,商学院,54.8,67.1,62.2,77.1
STU20241494,男,理学院,100.0,90.9,100.0,62.6
STU20241495,男,计算机学院,80.4,100.0,87.1,73.3
STU20241496,男,理学院,66.0,78.2,69.6,76.3
STU20241497,男,商学院,89.2,98.1,77.6,92.3
STU20241498,男,文法学院,100.0,62.9,100.0,89.7
STU20241499,女,理学院,65.0,84.5,76.6,90.4
STU20241500,女,计算机学院,81.9,73.7,86.9,74.1
STU20241501,女,机电学院,74.1,85.4,76.6,81.9
STU20241502,女,理学院,98.2,64.3,97.6,70.5
STU20241503,女,理学院,46.7,61.2,57.4,77.1
STU20241504,男,文法学院,59.7,76.6,67.4,84.9
STU20241505,男,计算机学院,74.9,62.4,73.2,86.0
STU20241506,女,文法学院,59.1,78.2,72.7,62.1
STU20241507,男,商学院,80.9,65.6,77.2,80.8
STU20241508,男,文法学院,56.5,65.9,60.9,74.6
STU20241509,男,文法学院,58.7,57.8,66.6,88.7
STU20241510,女,理学院,57.6,89.7,64.0,67.1
STU20241511,男,机电学院,55.7,64.3,65.4,67.1
STU20241512,男,商学院,49.4,80.3,61.9,89.1
STU20241513,男,文法学院,65.0,65.6,75.1,82.9
STU20241514,女,计算机学院,78.0,73.1,68.4,68.4
STU20241515,女,文法学院,75.3,70.5,85.4,69.3
STU20241516,女,机电学院,64.1,62.3,73.6,70.5
STU20241517,女,理学院,63.1,53.5,64.7,64.7
STU20241518,女,机电学院,77.1,56.2,82.9,62.1
STU20241519,女,机电学院,55.7,81.8,64.9,65.1
STU20241520,男,计算机学院,65.3,79.7,65.2,80.8
STU20241521,男,文法学院,39.1,68.6,46.0,66.1
STU20241522,男,商学院,54.5,75.6,60.5,76.4
STU20241523,男,计算机学院,75.8,87.2,83.8,96.1
STU20241524,女,商学院,85.5,86.4,88.6,77.8
STU20241525,男,商学院,66.7,54.7,69.0,71.1
STU20241526,男,理学院,62.8,81.3,75.0,81.9
STU20241527,男,机电学院,72.6,75.5,71.1,92.2
STU20241528,男,机电学院,79.1,66.2,82.2,76.7
STU20241529,男,文法学院,67.2,92.0,75.7,88.8
STU20241530,男,文法学院,77.4,73.4,85.2,73.4
STU20241531,男,理学院,50.7,78.6,63.0,75.4
STU20241532,女,机电学院,77.7,77.0,82.3,76.8
STU20241533,男,理学院,95.6,60.7,100.0,81.6
STU20241534,女,商学院,78.6,72.9,91.7,82.9
STU20241535,女,计算机学院,68.5,61.8,79.8,75.9
STU20241536,男,计算机学院,56.8,59.7,62.4,100.0
STU20241537,女,商学院,71.9,67.5,80.2,74.5
STU20241538,女,机电学院,57.3,68.9,71.6,76.1
STU20241539,男,计算机学院,76.5,77.5,85.7,73.5
STU20241540,女,理学院,85.7,85.9,87.3,72.1
STU20241541,女,商学院,74.9,47.0,80.0,68.3
STU20241542,女,理学院,71.0,81.7,73.5,57.7
STU20241543,女,理学院,64.8,58.6,68.4,53.8
STU20241544,男,文法学院,63.3,64.1,72.9,75.9
STU20241545,男,理学院,74.4,72.3,97.2,73.5
STU20241546,女,机电学院,73.1,83.8,72.8,57.4
STU20241547,女,文法学院,54.7,73.2,65.6,61.9
STU20241548,女,机电学院,60.0,80.2,62.8,73.7
STU20241549,男,理学院,59.0,75.6,63.7,79.3
STU20241550,女,理学院,73.8,62.5,87.9,69.2
STU20241551,男,计算机学院,73.3,68.9,81.2,85.4
STU20241552,男,机电学院,60.3,55.8,64.8,85.0
STU20241553,女,理学院,62.5,80.8,75.0,86.2
STU20241554,男,机电学院,95.4,84.6,98.7,89.1
STU20241555,男,计算机学院,76.3,61.5,82.3,92.5
STU20241556,女,计算机学院,74.5,76.9,75.5,84.8
STU20241557,男,机电学院,76.5,79.2,84.6,91.1
STU20241558,男,机电学院,83.4,52.0,83.4,77.1
STU20241559,女,计算机学院,84.0,75.6,89.8,77.9
STU20241560,女,理学院,73.2,89.3,79.5,76.0
STU20241561,女,商学院,76.6,81.2,85.6,67.5
STU20241562,男,文法学院,83.1,89.9,82.3,83.0
STU20241563,男,商学院,69.6,96.3,81.8,74.5
STU20241564,女,机电学院,65.6,72.8,69.9,72.3
STU20241565,女,商学院,59.8,79.1,72.7,80.4
STU20241566,男,计算机学院,63.7,75.5,68.2,91.0
STU20241567,女,文法学院,72.2,58.3,84.2,73.0
STU20241568,女,理学院,59.6,60.6,74.6,63.4
STU20241569,男,理学院,72.3,58.9,80.0,73.9
STU20241570,女,文法学院,57.7,63.6,55.5,75.5
STU20241571,女,理学院,54.1,53.9,63.4,63.8
STU20241572,男,理学院,59.7,67.0,69.0,90.4
STU20241573,男,理学院,61.4,69.4,61.8,74.1
STU20241574,男,计算机学院,52.1,81.9,55.6,80.6
STU20241575,女,商学院,66.7,92.4,73.0,67.2
STU20241576,女,机电学院,66.4,70.1,74.5,88.2
STU20241577,男,机电学院,52.3,88.4,63.8,73.7
STU20241578,男,文法学院,79.6,63.1,80.9,75.6
STU20241579,女,商学院,80.1,56.5,78.5,78.8
STU20241580,女,计算机学院,75.7,71.0,72.4,62.3
STU20241581,女,理学院,71.1,77.0,75.4,68.7
STU20241582,女,计算机学院,88.9,90.0,98.1,73.3
STU20241583,男,商学院,71.4,74.2,78.8,77.1
STU20241584,男,机电学院,68.0,67.8,72.8,69.1
STU20241585,男,机电学院,71.3,77.7,87.8,89.9
STU20241586,女,文法学院,51.9,81.8,62.1,64.9
STU20241587,男,理学院,57.7,62.9,57.6,80.2
STU20241588,女,商学院,71.9,90.7,76.8,65.8
STU20241589,女,机电学院,100.0,59.3,100.0,73.0
STU20241590,女,商学院,32.2,75.9,52.1,78.7
STU20241591,男,理学院,50.7,89.4,56.9,89.2
STU20241592,女,理学院,51.1,100.0,59.1,66.4
STU20241593,女,理学院,60.3,73.2,59.2,75.9
STU20241594,男,计算机学院,68.3,75.9,66.9,85.6
STU20241595,女,计算机学院,62.0,75.2,72.8,77.8
STU20241596,女,计算机学院,64.0,65.3,68.3,60.1
STU20241597,男,商学院,64.3,80.5,64.8,81.8
STU20241598,女,商学院,72.1,62.3,76.5,59.4
STU20241599,女,计算机学院,65.7,44.1,72.9,71.8
STU20241600,女,理学院,89.2,68.3,87.5,82.9
STU20241601,女,理学院,63.3,88.2,72.1,79.2
STU20241602,男,计算机学院,74.8,55.7,79.1,81.4
STU20241603,男,理学院,80.3,66.6,84.3,91.9
STU20241604,女,机电学院,49.6,73.0,58.8,71.0
STU20241605,男,商学院,61.1,92.4,66.9,84.6
STU20241606,男,计算机学院,58.3,86.4,63.1,100.0
STU20241607,女,商学院,35.1,75.3,54.4,80.0
STU20241608,男,理学院,59.5,96.6,66.2,73.9
STU20241609,女,机电学院,79.0,47.2,83.5,75.1
STU20241610,女,计算机学院,65.0,80.8,76.5,82.6
STU20241611,男,商学院,64.3,75.6,69.2,87.7
STU20241612,女,理学院,65.4,67.5,68.3,76.2
STU20241613,男,商学院,63.0,84.4,73.6,76.6
STU20241614,男,文法学院,66.3,83.9,70.0,84.7
STU20241615,女,商学院,65.6,70.6,76.6,75.4
STU20241616,女,计算机学院,58.3,75.5,67.7,72.2
STU20241617,男,文法学院,80.1,75.7,89.9,84.2
STU20241618,男,机电学院,38.0,65.8,54.8,87.5
STU20241619,女,机电学院,82.0,76.8,90.9,57.6
STU20241620,男,文法学院,83.0,77.4,86.7,69.3
STU20241621,男,商学院,80.4,76.7,86.2,83.4
STU20241622,女,理学院,56.0,91.3,62.5,83.8
STU20241623,男,理学院,76.7,85.5,77.1,79.2
STU20241624,男,机电学院,71.6,86.0,79.7,90.8
STU20241625,女,文法学院,86.4,63.5,91.3,81.7
STU20241626,女,机电学院,88.0,78.0,90.6,78.9
STU20241627,女,计算机学院,59.5,61.7,66.2,71.8
STU20241628,男,商学院,74.0,80.5,83.6,82.1
STU20241629,男,机电学院,100.0,66.9,100.0,70.1
STU20241630,女,商学院,59.7,88.1,71.2,66.0
STU20241631,女,商学院,96.5,77.1,96.4,63.9
STU20241632,男,理学院,75.1,54.3,77.6,65.5
STU20241633,男,商学院,67.3,86.5,70.5,76.7
STU20241634,男,理学院,60.7,81.6,67.1,84.7
STU20241635,女,文法学院,65.8,59.4,68.1,72.7
STU20241636,男,文法学院,69.2,50.3,75.7,84.0
STU20241637,男,计算机学院,62.1,81.2,77.8,78.7
STU20241638,女,文法学院,97.5,85.7,90.0,75.7
STU20241639,男,计算机学院,52.5,72.4,70.2,81.8
STU20241640,女,计算机学院,73.3,75.4,79.6,76.5
STU20241641,女,理学院,89.9,86.0,93.0,52.4
STU20241642,男,机电学院,88.7,81.3,91.6,65.4
STU20241643,女,理学院,86.5,70.2,93.9,64.5
STU20241644,女,理学院,100.0,79.5,100.0,56.8
STU20241645,男,机电学院,60.0,80.9,63.4,92.2
STU20241646,女,商学院,90.3,82.7,84.3,72.4
STU20241647,男,文法学院,55.9,58.0,65.2,85.4
STU20241648,女,文法学院,51.3,86.4,55.3,64.5
STU20241649,女,理学院,99.4,57.5,99.1,75.2
STU20241650,女,理学院,96.6,81.1,98.7,73.9
STU20241651,女,理学院,73.6,72.8,81.3,81.7
STU20241652,男,理学院,58.7,82.6,66.1,89.4
STU20241653,男,商学院,74.2,97.7,73.5,76.1
STU20241654,女,商学院,50.8,75.1,62.4,59.5
STU20241655,女,商学院,56.5,83.6,67.6,84.0
STU20241656,女,理学院,57.3,72.6,66.7,78.3
STU20241657,男,计算机学院,58.4,100.0,68.8,91.9
STU20241658,男,机电学院,69.8,64.0,69.6,74.1
STU20241659,女,文法学院,55.2,67.0,66.1,63.5
STU20241660,男,机电学院,75.2,79.7,80.6,91.2
STU20241661,男,商学院,62.3,71.3,76.3,74.8
STU20241662,男,商学院,74.1,82.5,77.6,72.5
STU20241663,女,商学院,92.4,82.7,98.3,82.0
STU20241664,男,理学院,72.7,71.7,79.1,74.2
STU20241665,男,计算机学院,78.3,83.0,79.0,88.6
STU20241666,女,理学院,88.0,80.4,93.1,68.6
STU20241667,男,机电学院,59.4,98.5,63.7,86.7
STU20241668,男,文法学院,100.0,73.7,100.0,85.3
STU20241669,男,机电学院,89.0,91.2,97.5,83.8
STU20241670,男,文法学院,43.1,82.6,57.8,80.1
STU20241671,女,机电学院,68.7,80.6,72.2,74.2
STU20241672,男,文法学院,85.6,71.4,86.7,83.6
STU20241673,女,机电学院,73.1,66.3,77.5,65.8
STU20241674,女,理学院,79.4,85.2,85.7,82.5
STU20241675,女,理学院,54.1,50.3,69.8,61.8
STU20241676,男,理学院,75.9,74.4,70.2,73.5
STU20241677,男,机电学院,62.0,74.9,72.7,73.6
STU20241678,女,理学院,97.2,86.8,94.2,61.0
STU20241679,男,机电学院,71.8,81.8,78.5,69.4
STU20241680,男,机电学院,71.1,97.5,70.8,77.4
STU20241681,男,商学院,73.0,64.2,85.1,77.1
STU20241682,女,计算机学院,55.0,90.9,66.8,78.7
STU20241683,男,机电学院,100.0,68.3,100.0,87.3
STU20241684,男,商学院,85.3,77.7,92.1,78.0
STU20241685,男,机电学院,77.2,60.3,80.0,87.6
STU20241686,女,计算机学院,51.7,58.6,64.1,58.3
STU20241687,女,计算机学院,71.8,65.0,71.8,75.3
STU20241688,女,理学院,69.6,82.2,68.6,80.5
STU20241689,男,文法学院,64.3,79.9,72.5,82.0
STU20241690,女,机电学院,82.3,47.9,91.8,69.0
STU20241691,男,商学院,60.6,78.8,60.1,84.0
STU20241692,男,文法学院,71.9,88.0,73.8,74.1
STU20241693,女,机电学院,64.1,88.5,76.7,86.0
STU20241694,男,理学院,77.4,98.4,88.3,89.3
STU20241695,女,商学院,49.5,76.5,54.1,64.1
STU20241696,男,计算机学院,57.8,87.2,60.3,79.3
STU20241697,女,计算机学院,61.8,87.7,66.3,77.6
STU20241698,女,计算机学院,87.2,71.4,91.0,66.7
STU20241699,女,理学院,68.9,69.8,70.3,78.4
STU20241700,男,理学院,86.5,91.4,87.6,75.6
STU20241701,男,文法学院,98.3,90.4,85.1,72.1
STU20241702,男,文法学院,81.3,68.5,85.8,72.4
STU20241703,男,文法学院,72.8,66.6,77.2,85.0
STU20241704,女,商学院,85.1,92.7,86.8,78.1
STU20241705,女,机电学院,66.0,62.6,71.2,72.0
STU20241706,女,文法学院,83.7,83.6,89.6,70.7
STU20241707,男,理学院,49.7,70.4,53.0,67.6
STU20241708,女,理学院,65.3,79.6,70.3,73.1
STU20241709,男,计算机学院,66.7,65.5,71.3,78.4
STU20241710,女,商学院,71.0,73.8,72.7,68.2
STU20241711,男,文法学院,96.6,67.5,95.0,84.7
STU20241712,女,理学院,73.6,92.0,79.9,55.8
STU20241713,女,机电学院,71.5,93.5,79.0,67.8
STU20241714,男,理学院,69.7,83.9,70.7,74.6
STU20241715,男,理学院,62.6,68.7,70.1,90.9
STU20241716,女,商学院,93.5,77.5,99.9,78.8
STU20241717,男,机电学院,59.6,67.9,69.0,83.2
STU20241718,女,计算机学院,74.1,83.4,79.3,62.5
STU20241719,男,商学院,73.4,72.8,75.8,72.9
STU20241720,女,文法学院,69.0,88.2,70.3,76.4
STU20241721,女,文法学院,66.1,81.5,72.8,70.2
STU20241722,男,商学院,60.4,73.6,71.9,88.4
STU20241723,男,商学院,67.4,87.3,75.9,73.1
STU20241724,女,机电学院,51.9,79.9,62.6,92.1
STU20241725,男,商学院,59.9,80.8,71.6,95.4
STU20241726,男,机电学院,73.4,52.7,73.5,90.5
STU20241727,男,商学院,51.5,58.1,67.3,67.2
STU20241728,女,机电学院,90.3,91.0,96.9,70.0
STU20241729,男,商学院,63.5,60.9,73.2,63.3
STU20241730,女,商学院,65.0,61.2,80.2,68.0
STU20241731,男,文法学院,87.5,65.6,97.6,81.2
STU20241732,男,理学院,64.6,71.8,70.5,75.9
STU20241733,男,文法学院,72.1,58.2,75.7,88.1
STU20241734,男,商学院,61.1,71.2,61.9,66.9
STU20241735,女,文法学院,95.3,74.1,100.0,59.9
STU20241736,女,机电学院,58.4,58.5,60.9,57.8
STU20241737,男,计算机学院,54.6,70.2,63.3,91.5
STU20241738,男,机电学院,60.5,71.9,67.6,90.7
STU20241739,女,计算机学院,49.1,66.2,57.8,70.8
STU20241740,男,商学院,88.9,82.2,86.6,79.1
STU20241741,男,商学院,76.8,65.4,82.8,83.6
STU20241742,男,机电学院,100.0,78.9,95.7,81.8
STU20241743,男,理学院,57.1,57.6,70.1,84.9
STU20241744,女,商学院,50.5,59.3,65.5,70.0
STU20241745,男,文法学院,70.5,76.1,76.6,81.0
STU20241746,女,计算机学院,61.6,78.4,66.0,76.6
STU20241747,女,计算机学院,35.7,94.6,47.3,72.7
STU20241748,女,计算机学院,43.8,47.3,57.9,75.9
STU20241749,男,计算机学院,69.7,66.2,76.3,80.3
STU20241750,男,机电学院,47.6,61.2,47.3,77.4
STU20241751,女,机电学院,70.2,60.7,71.8,73.4
STU20241752,男,商学院,86.5,79.2,77.7,75.9
STU20241753,男,商学院,77.2,70.9,86.1,80.1
STU20241754,男,商学院,63.2,80.4,63.3,82.3
STU20241755,男,计算机学院,42.2,79.9,53.5,86.8
STU20241756,女,计算机学院,58.2,91.7,55.2,90.6
STU20241757,男,机电学院,88.4,79.5,93.2,73.9
STU20241758,女,理学院,77.0,61.5,84.2,71.4
STU20241759,男,理学院,94.4,64.0,88.3,89.2
STU20241760,女,机电学院,67.3,67.7,74.6,69.8
STU20241761,男,文法学院,73.2,62.2,77.4,88.5
STU20241762,男,理学院,56.3,74.9,64.6,84.3
STU20241763,女,机电学院,89.0,71.1,89.2,83.0
STU20241764,女,理学院,76.1,61.1,79.7,60.2
STU20241765,女,机电学院,87.9,35.3,92.0,68.9
STU20241766,男,商学院,60.5,75.3,61.9,65.7
STU20241767,女,计算机学院,61.5,91.3,70.3,73.0
STU20241768,女,计算机学院,56.3,81.2,64.5,52.4
STU20241769,男,文法学院,96.8,88.4,100.0,78.9
STU20241770,男,机电学院,76.4,74.2,84.8,86.0
STU20241771,女,计算机学院,65.6,75.1,69.2,69.9
STU20241772,女,计算机学院,86.7,72.2,96.2,59.0
STU20241773,男,文法学院,79.4,62.9,76.5,84.7
STU20241774,女,商学院,94.7,82.3,93.6,71.2
STU20241775,女,理学院,55.2,76.9,60.9,84.1
STU20241776,女,理学院,65.6,72.3,80.9,76.4
STU20241777,女,计算机学院,78.2,57.4,85.1,78.1
STU20241778,男,机电学院,86.5,95.7,87.9,72.6
STU20241779,女,理学院,69.2,65.6,74.2,65.1
STU20241780,女,机电学院,81.3,52.5,87.2,75.1
STU20241781,男,计算机学院,77.7,100.0,80.3,72.5
STU20241782,男,理学院,81.9,100.0,91.8,90.0
STU20241783,男,文法学院,46.8,92.8,59.7,75.6
STU20241784,女,文法学院,58.0,87.6,72.8,69.9
STU20241785,女,文法学院,66.4,52.0,80.4,64.8
STU20241786,男,计算机学院,70.3,58.9,70.7,90.1
STU20241787,男,机电学院,80.6,85.1,89.4,82.7
STU20241788,男,商学院,57.3,84.8,66.6,84.0
STU20241789,男,机电学院,75.5,99.2,75.5,83.1
STU20241790,男,商学院,66.7,77.0,79.9,75.4
STU20241791,男,商学院,69.6,76.7,72.2,83.0
STU20241792,男,机电学院,80.5,86.9,87.3,79.6
STU20241793,男,计算机学院,77.9,70.7,73.6,79.4
STU20241794,男,商学院,61.0,81.5,70.6,74.7
STU20241795,男,文法学院,52.6,73.0,71.8,98.6
STU20241796,男,计算机学院,84.0,58.3,94.3,87.6
STU20241797,男,理学院,58.0,83.0,55.3,84.3
STU20241798,女,文法学院,73.3,87.6,85.4,60.7
STU20241799,男,机电学院,69.2,76.4,76.5,88.1
STU20241800,男,商学院,73.5,92.0,85.2,91.7
STU20241801,女,计算机学院,99.3,63.9,100.0,93.2
STU20241802,女,计算机学院,60.7,79.9,65.3,66.8
STU20241803,男,理学院,65.3,59.8,66.0,77.6
STU20241804,女,文法学院,76.9,88.2,89.9,77.4
STU20241805,男,理学院,75.3,80.3,84.7,73.5
STU20241806,男,文法学院,92.3,88.0,89.6,87.6
STU20241807,女,理学院,100.0,74.9,95.8,84.2
STU20241808,女,文法学院,45.6,75.0,59.9,76.3
STU20241809,男,商学院,64.3,60.3,67.4,76.6
STU20241810,男,机电学院,49.0,73.9,61.6,89.4
STU20241811,男,文法学院,74.5,46.5,80.5,71.2
STU20241812,男,文法学院,33.5,44.7,55.3,76.0
STU20241813,男,商学院,71.9,67.0,74.8,90.1
STU20241814,女,文法学院,84.6,93.2,84.8,63.0
STU20241815,男,文法学院,70.9,73.4,73.1,87.1
STU20241816,女,计算机学院,82.3,70.9,85.2,77.4
STU20241817,女,商学院,55.2,84.9,57.3,83.5
STU20241818,女,文法学院,46.9,74.7,63.7,77.3
STU20241819,男,理学院,59.2,99.4,66.8,79.0
STU20241820,男,机电学院,80.4,67.6,74.7,75.7
STU20241821,男,商学院,72.6,79.2,80.4,76.9
STU20241822,男,机电学院,64.9,79.2,71.8,80.3
STU20241823,女,计算机学院,69.1,72.0,77.5,77.2
STU20241824,女,商学院,84.5,78.4,85.0,86.1
STU20241825,女,计算机学院,77.8,88.4,82.1,77.7
STU20241826,女,机电学院,80.9,77.8,79.2,72.6
STU20241827,男,文法学院,35.6,75.0,44.4,85.7
STU20241828,女,计算机学院,78.4,69.4,91.7,81.3
STU20241829,男,计算机学院,41.9,68.1,66.2,66.2
STU20241830,女,理学院,56.1,79.4,62.9,77.2
STU20241831,男,理学院,73.2,74.7,84.4,79.9
STU20241832,女,文法学院,31.2,77.1,40.7,61.9
STU20241833,女,文法学院,84.2,86.0,90.5,66.0
STU20241834,男,商学院,70.0,73.9,71.2,80.6
STU20241835,女,机电学院,88.4,82.4,86.6,76.1
STU20241836,男,文法学院,64.7,77.9,78.2,71.9
STU20241837,女,文法学院,65.4,79.4,73.2,77.5
STU20241838,女,理学院,71.3,77.0,76.7,53.1
STU20241839,男,理学院,57.0,82.9,63.4,74.9
STU20241840,女,文法学院,71.2,66.7,76.1,60.0
STU20241841,女,机电学院,88.8,80.4,89.5,77.1
STU20241842,男,计算机学院,69.9,100.0,72.9,76.6
STU20241843,男,计算机学院,76.4,71.7,69.2,83.1
STU20241844,男,文法学院,70.6,52.0,68.0,83.0
STU20241845,男,机电学院,52.0,87.6,65.0,85.2
STU20241846,女,商学院,46.4,57.9,56.5,90.1
STU20241847,男,理学院,79.6,85.4,87.4,82.7
STU20241848,女,机电学院,60.2,71.7,65.1,55.8
STU20241849,女,商学院,60.9,74.4,60.1,68.8
STU20241850,男,计算机学院,50.8,49.3,64.0,75.0
STU20241851,女,机电学院,79.9,70.6,82.7,79.7
STU20241852,男,机电学院,72.6,74.0,74.0,71.2
STU20241853,男,商学院,67.6,73.6,79.4,67.3
STU20241854,女,商学院,66.1,83.3,75.3,82.6
STU20241855,女,计算机学院,49.5,78.8,60.2,66.7
STU20241856,女,计算机学院,79.8,86.5,85.7,61.2
STU20241857,男,计算机学院,53.7,72.9,68.0,80.9
STU20241858,女,计算机学院,82.5,64.0,82.9,71.0
STU20241859,女,机电学院,41.4,82.1,46.9,69.2
STU20241860,女,计算机学院,69.2,87.4,73.2,67.0
STU20241861,女,理学院,67.0,76.2,73.1,61.7
STU20241862,女,文法学院,51.0,60.1,55.3,77.1
STU20241863,男,文法学院,74.1,78.5,81.8,67.9
STU20241864,男,机电学院,76.5,78.9,79.1,69.5
STU20241865,男,商学院,84.3,60.7,82.4,71.7
STU20241866,男,理学院,64.6,79.1,67.5,88.9
STU20241867,女,计算机学院,50.4,93.7,62.4,76.6
STU20241868,男,理学院,83.1,54.9,80.6,71.4
STU20241869,男,机电学院,60.0,63.6,68.4,77.3
STU20241870,女,理学院,80.6,71.3,89.4,72.5
STU20241871,男,计算机学院,89.4,86.0,83.5,67.8
STU20241872,女,机电学院,59.1,77.9,60.6,79.3
STU20241873,女,理学院,89.8,73.0,88.7,85.3
STU20241874,女,计算机学院,55.2,77.7,68.3,63.7
STU20241875,男,理学院,67.8,64.6,73.2,82.9
STU20241876,女,计算机学院,71.0,68.1,77.9,72.3
STU20241877,女,理学院,63.2,75.9,66.0,78.3
STU20241878,女,计算机学院,73.0,72.7,80.5,86.5
STU20241879,女,理学院,82.5,97.7,94.4,79.3
STU20241880,男,机电学院,47.1,68.2,59.1,86.4
STU20241881,女,理学院,49.6,82.3,57.8,75.4
STU20241882,女,文法学院,80.6,86.1,89.9,70.2
STU20241883,男,理学院,94.0,69.7,100.0,79.9
STU20241884,女,理学院,63.4,70.2,69.7,69.4
STU20241885,女,机电学院,62.3,80.4,69.9,58.1
STU20241886,女,计算机学院,63.0,85.5,68.0,64.5
STU20241887,男,机电学院,87.5,60.7,87.9,74.1
STU20241888,男,文法学院,65.6,75.1,73.7,64.0
STU20241889,女,机电学院,64.8,100.0,64.7,85.9
STU20241890,女,机电学院,49.1,87.6,62.9,66.0
STU20241891,男,文法学院,75.3,90.5,81.4,67.6
STU20241892,女,机电学院,80.6,75.0,78.2,86.7
STU20241893,男,文法学院,85.8,81.1,90.3,90.7
STU20241894,女,理学院,40.0,83.8,54.9,77.2
STU20241895,女,机电学院,88.2,60.2,86.9,72.9
STU20241896,女,理学院,75.9,81.2,76.3,66.7
STU20241897,女,计算机学院,80.7,85.2,79.6,69.9
STU20241898,女,机电学院,81.3,63.8,86.0,67.3
STU20241899,男,理学院,91.6,76.4,87.0,78.8
STU20241900,女,机电学院,61.4,63.2,65.4,65.8
STU20241901,女,商学院,63.4,66.8,67.9,80.5
STU20241902,男,商学院,92.3,94.6,94.7,73.9
STU20241903,男,机电学院,96.8,74.2,92.5,95.8
STU20241904,男,商学院,56.8,80.3,69.4,83.2
STU20241905,女,理学院,85.6,72.6,91.0,64.4
STU20241906,女,机电学院,61.1,98.8,73.0,74.8
STU20241907,男,文法学院,58.9,52.5,66.0,54.9
STU20241908,女,商学院,100.0,58.8,100.0,81.7
STU20241909,女,商学院,62.9,80.3,74.9,77.5
STU20241910,女,商学院,77.3,45.6,76.5,75.6
STU20241911,男,商学院,76.4,74.8,81.6,73.6
STU20241912,男,计算机学院,76.8,69.1,79.7,83.7
STU20241913,女,机电学院,57.4,51.3,64.7,80.9
STU20241914,女,文法学院,60.2,77.0,69.6,73.9
STU20241915,女,商学院,57.4,84.1,57.2,82.9
STU20241916,女,计算机学院,68.0,68.6,72.5,75.8
STU20241917,女,商学院,88.6,77.2,95.7,73.5
STU20241918,女,理学院,66.3,92.3,71.5,77.3
STU20241919,男,计算机学院,100.0,77.5,100.0,79.8
STU20241920,男,计算机学院,78.9,64.4,91.5,67.4
STU20241921,女,机电学院,69.2,75.0,73.2,78.1
STU20241922,男,文法学院,62.1,100.0,81.0,87.4
STU20241923,男,理学院,73.9,74.3,76.5,72.8
